Z,Symbol,Freq_X,Freq_Y,Freq_Z,Mass,X_Hex,Y_Hex,Zc_Hex,W_Hex,Dim_Class,State
62,Sm,4.63,0.57,5.79,150.36,0x81CF,0x7FC7,0x7DBD,0x82D0,4D (Hyper-Fold),Stable
63,Eu,4.47,0.55,5.59,151.96,0x81BF,0x7FC9,0x7DD1,0x8348,4D (Hyper-Fold),Stable
64,Gd,3.98,0.49,4.97,157.25,0x818E,0x7FCF,0x7E0F,0x83C0,4D (Hyper-Fold),Stable
65,Tb,3.83,0.47,4.79,158.93,0x817F,0x7FD1,0x7E21,0x8438,4D (Hyper-Fold),Stable
66,Dy,3.54,0.44,4.42,162.5,0x8162,0x7FD4,0x7E46,0x84B0,4D (Hyper-Fold),Stable
67,Ho,3.35,0.41,4.19,164.93,0x814F,0x7FD7,0x7E5D,0x8528,4D (Hyper-Fold),Stable
68,Er,3.18,0.39,3.98,167.26,0x813E,0x7FD9,0x7E72,0x85A0,4D (Hyper-Fold),Stable
69,Tm,3.07,0.38,3.83,168.93,0x8133,0x7FDA,0x7E81,0x8618,4D (Hyper-Fold),Stable
70,Yb,2.8,0.35,3.5,173.05,0x8118,0x7FDD,0x7EA2,0x8690,4D (Hyper-Fold),Stable
71,Lu,2.68,0.33,3.35,174.97,0x810C,0x7FDF,0x7EB1,0x8708,4D (Hyper-Fold),Stable
72,Hf,2.48,0.31,3.1,178.49,0x80F8,0x7FE1,0x7ECA,0x8000,3D (Anchor/Volume),Stable
73,Ta,2.35,0.29,2.93,180.95,0x80EB,0x7FE3,0x7EDB,0x8000,3D (Anchor/Volume),Stable
74,W,2.2,0.27,2.75,183.84,0x80DC,0x7FE5,0x7EED,0x8000,3D (Anchor/Volume),Stable
75,Re,2.09,0.26,2.61,186.21,0x80D1,0x7FE6,0x7EFB,0x8000,3D (Anchor/Volume),Stable
76,Os,1.91,0.23,2.39,190.23,0x80BF,0x7FE9,0x7F11,0x8000,3D (Anchor/Volume),Stable
77,Ir,1.82,0.22,2.28,192.22,0x80B6,0x7FEA,0x7F1C,0x8000,3D (Anchor/Volume),Stable
78,Pt,1.71,0.21,2.14,195.08,0x80AB,0x7FEB,0x7F2A,0x8000,3D (Anchor/Volume),Stable
79,Au,1.64,0.2,2.05,196.97,0x80A4,0x7FEC,0x7F33,0x8000,3D (Anchor/Volume),Stable
80,Hg,1.51,0.18,1.89,200.59,0x8097,0x7FEE,0x7F43,0x8000,3D (Anchor/Volume),Stable
81,Tl,1.39,0.17,1.74,204.38,0x808B,0x7FEF,0x7F52,0x8000,3D (Anchor/Volume),Stable
82,Pb,1.31,0.16,1.63,207.2,0x8083,0x7FF0,0x7F5D,0x8000,3D (Anchor/Volume),Stable
83,Bi,1.26,0.15,1.57,208.98,0x807E,0x7FF1,0x7F63,0x8000,3D (Anchor/Volume),Stable
84,Po,1.26,0.15,1.57,209.0,0x807E,0x7FF1,0x7F63,0x8000,3D (Anchor/Volume),Stable
85,At,1.23,0.15,1.54,210.0,0x807B,0x7FF1,0x7F66,0x8000,3D (Anchor/Volume),Stable
86,Rn,0.94,0.11,1.18,222.0,0x805E,0x7FF5,0x7F8A,0x8000,3D (Anchor/Volume),Closure
87,Fr,0.92,0.11,1.15,223.0,0x805C,0x7FF5,0x7F8D,0x8000,3D (Anchor/Volume),Stable
88,Ra,0.86,0.1,1.07,226.0,0x8056,0x7FF6,0x7F95,0x8000,3D (Anchor/Volume),Stable
89,Ac,0.84,0.1,1.05,227.0,0x8054,0x7FF6,0x7F97,0x8802,4D (Hyper-Fold),Stable
90,Th,0.75,0.09,0.94,232.04,0x804B,0x7FF7,0x7FA2,0x88FC,4D (Hyper-Fold),Stable
91,Pa,0.77,0.09,0.96,231.04,0x804D,0x7FF7,0x7FA0,0x89F6,4D (Hyper-Fold),Stable
92,U,0.66,0.08,0.82,238.03,0x8042,0x7FF8,0x7FAE,0x8AF0,4D (Hyper-Fold),Fatal Flaw
93,Np,0.67,0.08,0.84,237.0,0x8043,0x7FF8,0x7FAC,0x8BEA,4D (Hyper-Fold),Stable
94,Pu,0.57,0.07,0.72,244.0,0x8039,0x7FF9,0x7FB8,0x8CE4,4D (Hyper-Fold),Stable
95,Am,0.59,0.07,0.73,243.0,0x803B,0x7FF9,0x7FB7,0x8DDE,4D (Hyper-Fold),Stable
96,Cm,0.54,0.06,0.67,247.0,0x8036,0x7FFA,0x7FBD,0x8ED8,4D (Hyper-Fold),Stable
97,Bk,0.54,0.06,0.67,247.0,0x8036,0x7FFA,0x7FBD,0x8FD2,4D (Hyper-Fold),Stable
98,Cf,0.49,0.06,0.61,251.0,0x8031,0x7FFA,0x7FC3,0x90CC,4D (Hyper-Fold),Stable
99,Es,0.48,0.06,0.6,252.0,0x8030,0x7FFA,0x7FC4,0x91C6,4D (Hyper-Fold),Stable
100,Fm,0.43,0.05,0.54,257.0,0x802B,0x7FFB,0x7FCA,0x92C0,4D (Hyper-Fold),Stable
101,Md,0.42,0.05,0.53,258.0,0x802A,0x7FFB,0x7FCB,0x93BA,4D (Hyper-Fold),Stable
102,No,0.41,0.05,0.51,259.0,0x8029,0x7FFB,0x7FCD,0x94B4,4D (Hyper-Fold),Stable
103,Lr,0.35,0.04,0.44,266.0,0x8023,0x7FFC,0x7FD4,0x95AE,4D (Hyper-Fold),Stable
104,Rf,0.34,0.04,0.43,267.0,0x8022,0x7FFC,0x7FD5,0x970C,4D (Hyper-Fold),Stable
